Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
Vince Carter\cartevi01,0.333,3.5,0.297,0.379,0.789,0.4,2,1.2,0.7,0.2,5.8
Wayne Ellington\ellinwa01,0.412,3.7,0.37,0.439,0.813,0.5,3.2,1.6,0.5,0,10
Wesley Matthews\matthwe02,0.448,7.4,0.389,0.534,0.752,0.6,3.7,2.3,1.3,0.2,15.9
Will Barton\bartowi01,0.425,1.5,0.271,0.474,0.787,0.4,2.8,1.4,0.8,0.3,6.8
Willie Green\greenwi01,0.386,2.3,0.347,0.411,0.824,0.3,1.5,1.3,0.5,0.1,5.9
Alec Burks\burksal01,0.41,2.5,0.405,0.412,0.752,0.5,3.5,2,0.6,0.1,13.3
Allen Crabbe\crabbal01,0.459,3.5,0.393,0.506,0.867,0.3,2.7,1.2,0.8,0.2,10.3
Andre Roberson\roberan03,0.496,1.5,0.311,0.608,0.611,1.1,3.6,0.7,0.8,0.6,4.8
Anthony Morrow\morroan01,0.408,3,0.387,0.442,0.744,0.1,0.9,0.4,0.3,0.1,5.6
Arron Afflalo\afflaar01,0.443,3.4,0.382,0.469,0.84,0.3,3.7,2,0.4,0.1,12.8
Austin Rivers\riverau01,0.438,2.8,0.335,0.495,0.681,0.3,1.9,1.5,0.7,0.1,8.9
Avery Bradley\bradlav01,0.447,5.4,0.361,0.505,0.78,0.6,2.9,2.1,1.5,0.3,15.2
Ben McLemore\mclembe01,0.429,2.7,0.362,0.474,0.718,0.5,2.2,1.2,0.8,0.1,7.8
Bradley Beal\bealbr01,0.449,4.9,0.387,0.481,0.767,0.7,3.4,2.9,1,0.2,17.4
Brandon Knight\knighbr03,0.415,6.8,0.342,0.461,0.852,0.7,3.9,5.1,1.2,0.4,19.6
Brandon Rush\rushbr01,0.427,2.2,0.414,0.447,0.643,0.3,2.5,0.8,0.3,0.3,4.2
CJ McCollum\mccolcj01,0.448,5.9,0.417,0.463,0.827,0.6,3.2,4.3,1.2,0.3,20.8
Cory Joseph\josepco01,0.439,1.4,0.273,0.478,0.764,0.5,2.6,3.1,0.8,0.3,8.5
Courtney Lee\leeco01,0.454,2.7,0.378,0.493,0.839,0.4,2.6,1.7,1.1,0.4,9.6
Danny Green\greenda02,0.376,4.4,0.332,0.448,0.739,0.6,3.8,1.8,1,0.8,7.2
Darrun Hilliard\hillida01,0.397,1.3,0.38,0.407,0.725,0.1,1.2,0.7,0.2,0,4
DeMar DeRozan\derozde01,0.446,1.8,0.338,0.458,0.85,0.8,4.5,4,1,0.3,23.5
Devin Booker\bookede01,0.423,3.8,0.343,0.464,0.84,0.4,2.5,2.6,0.6,0.3,13.8
Dion Waiters\waitedi01,0.399,3.1,0.358,0.421,0.713,0.5,2.6,2,1,0.2,9.8
Dwyane Wade\wadedw01,0.456,0.6,0.159,0.468,0.793,1.1,4.1,4.6,1.1,0.6,19
