,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
33,John Wall\walljo01,0.445,2.7,0.3,0.478,0.785,0.5,4.6,10.0,1.7,0.6,17.6,76
34,Jordan Clarkson\clarkjo01,0.44799999999999995,2.1,0.314,0.48200000000000004,0.8290000000000001,0.9,3.2,3.5,0.9,0.2,11.9,77
35,Jordan Farmar\farmajo01,0.386,2.7,0.361,0.426,0.909,0.2,1.2,1.9,0.6,0.1,4.6,74
36,Jose Calderon\caldejo01,0.415,3.4,0.415,0.415,0.9059999999999999,0.5,3.0,4.7,0.7,0.0,9.1,75
37,Jrue Holiday\holidjr01,0.446,3.4,0.37799999999999995,0.469,0.855,0.8,3.4,6.9,1.6,0.6,14.8,76
38,Kemba Walker\walkeke02,0.385,4.5,0.304,0.418,0.8270000000000001,0.6,3.5,5.1,1.4,0.5,17.3,73
39,Kyle Lowry\lowryky01,0.41200000000000003,5.6,0.33799999999999997,0.457,0.8079999999999999,0.8,4.7,6.8,1.6,0.2,17.8,73
40,Kyrie Irving\irvinky01,0.46799999999999997,5.0,0.415,0.491,0.863,0.7,3.2,5.2,1.5,0.3,21.7,75
41,Langston Galloway\gallola01,0.39899999999999997,3.9,0.35200000000000004,0.424,0.8079999999999999,0.8,4.2,3.3,1.2,0.3,11.8,74
42,Luke Ridnour\ridnolu01,0.426,1.3,0.317,0.48700000000000004,0.857,0.2,1.4,2.0,0.4,0.1,4.0,74
43,Marcus Smart\smartma01,0.36700000000000005,4.1,0.335,0.41,0.6459999999999999,0.9,3.3,3.1,1.5,0.3,7.8,76
44,Mario Chalmers\chalmma01,0.40299999999999997,3.1,0.294,0.467,0.774,0.3,2.6,3.8,1.5,0.1,10.2,74
45,Michael Carter-Williams\cartemi01,0.396,2.3,0.235,0.428,0.6940000000000001,1.0,5.3,6.7,1.7,0.5,14.6,78
46,Mike Conley\conlemi01,0.446,4.0,0.386,0.473,0.8590000000000001,0.4,3.0,5.4,1.3,0.2,15.8,73
47,Mo Williams\willima01,0.397,5.1,0.342,0.434,0.872,0.3,2.6,6.2,0.7,0.2,14.2,73
48,Nate Robinson\robinna01,0.345,2.7,0.27699999999999997,0.39899999999999997,0.674,0.4,1.2,2.3,0.5,0.1,5.7,69
49,Norris Cole\coleno01,0.41200000000000003,2.3,0.313,0.45799999999999996,0.716,0.2,2.1,3.4,0.8,0.2,7.6,74
50,Pablo Prigioni\prigipa01,0.39899999999999997,2.5,0.34299999999999997,0.5479999999999999,0.8540000000000001,0.4,1.8,2.6,1.2,0.0,4.1,75
51,Patrick Beverley\beverpa01,0.38299999999999995,5.8,0.35600000000000004,0.426,0.75,1.2,4.2,3.4,1.1,0.4,10.1,73
52,Patty Mills\millspa02,0.381,3.6,0.341,0.429,0.825,0.4,1.5,1.7,0.5,0.0,6.9,72
53,Phil Pressey\pressph01,0.368,1.3,0.24600000000000002,0.44,0.6729999999999999,0.3,1.6,2.3,0.6,0.1,3.5,71
54,Rajon Rondo\rondora01,0.426,1.3,0.314,0.444,0.397,1.1,5.5,7.9,1.3,0.1,8.9,73
55,Ramon Sessions\sessira01,0.374,0.9,0.317,0.387,0.769,0.4,2.3,2.8,0.5,0.0,6.3,75
56,Ray McCallum\mccalra01,0.43799999999999994,1.6,0.306,0.479,0.679,0.8,2.6,2.8,0.7,0.2,7.4,75
57,Reggie Jackson\jacksre01,0.434,3.1,0.299,0.47700000000000004,0.83,0.7,4.2,6.0,0.8,0.1,14.5,75
58,Rodney Stuckey\stuckro01,0.44,2.0,0.39,0.452,0.8190000000000001,0.5,3.5,3.1,0.8,0.1,12.6,77
59,Ronnie Price\pricero01,0.345,2.5,0.284,0.40399999999999997,0.8,0.4,1.6,3.8,1.6,0.1,5.1,74
60,Russell Westbrook\westbru01,0.426,4.3,0.299,0.457,0.835,1.9,7.3,8.6,2.1,0.2,28.1,75
61,Shabazz Napier\napiesh01,0.382,2.3,0.364,0.4,0.7859999999999999,0.3,2.2,2.5,0.8,0.1,5.1,73
62,Shane Larkin\larkish01,0.433,1.5,0.302,0.48100000000000004,0.782,0.4,2.3,3.0,1.2,0.1,6.2,71
