FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.424,1.8,0.404,0.436,0.811,0.3,2.3,1,0.6,0.2,5.6
0.371,4,0.321,0.421,0.775,0.3,2.6,2.9,1.2,0.2,7.8
0.351,3.1,0.3,0.405,0.824,0.3,1.9,2,0.5,0.4,5.9
0.305,2.1,0.293,0.319,0.8,0.2,1.3,0.6,0.4,0.2,3.1
0.42,5.7,0.359,0.472,0.86,0.5,3.4,2.7,0.9,0.2,14.5
0.383,2.3,0.364,0.403,0.821,0.4,2.4,1.4,0.6,0.1,4.9
0.456,3.7,0.342,0.538,0.896,0.4,1.8,0.9,0.4,0.1,11.1
0.43,2.8,0.338,0.537,0.893,0.1,1.7,1,0.4,0.1,6.4
0.458,0.7,0.357,0.468,0.652,1.6,4.6,1.1,1.7,0.3,8.4
0.476,2.8,0.484,0.462,0.556,0.2,1.3,0.5,0.3,0.1,5.6
0.486,2,0.38,0.529,0.797,0.8,3,2.2,0.7,0.4,8.7
0.438,3.9,0.348,0.475,0.83,0.7,4.8,3.9,1.6,0.8,16
0.388,2.8,0.349,0.425,0.833,0.5,2.4,0.9,0.6,0.3,6.6
0.389,3.5,0.358,0.416,0.857,0.3,2.3,1.1,0.6,0.1,7.7
0.432,4,0.345,0.476,0.806,0.7,5.8,2.5,0.9,0.5,14.4
0.452,3.9,0.389,0.482,0.793,0.3,2.8,3.1,0.8,0.2,14
0.399,1.8,0.329,0.43,0.769,0.4,2.9,0.7,0.4,0.1,6.7
0.393,3.6,0.381,0.426,0.898,0.3,1.3,0.6,0.5,0.1,6
0.468,3.8,0.444,0.49,0.847,0.2,2.9,1.2,0.7,0.3,10.7
0.389,2.7,0.308,0.479,0.919,0.2,0.6,0.5,0.5,0,5.5
0.44,2.5,0.411,0.457,0.892,0.1,2,1.3,0.3,0.1,8.4
0.442,4,0.371,0.491,0.691,0.3,2.2,2.8,0.6,0.1,12
0.463,5,0.39,0.504,0.731,1.2,6.1,2.2,1.2,0.2,16.3
0.43,2.8,0.382,0.462,0.753,0.3,2.1,0.8,0.5,0.1,8.1
0.482,7.2,0.404,0.538,0.825,0.7,3.1,3.5,1.1,0.3,23.1
0.398,2.6,0.324,0.425,0.857,0.5,2.2,2.4,0.5,0.1,11
0.374,2.4,0.386,0.356,0.722,0.3,2.1,1,0.5,0.5,4.2
0.426,4.6,0.391,0.461,0.842,0.4,3.3,1.5,0.5,0.1,10.6
0.48,5.5,0.421,0.506,0.912,0.8,3.6,3.6,0.9,0.5,23
0.456,3.5,0.401,0.49,0.867,0.7,3.4,2.3,1.1,0.3,10.8
0.392,4.6,0.379,0.42,0.844,0.5,3.3,1.8,1,0.8,7.3
0.387,0.7,0.37,0.396,0.625,0.3,1.7,0.9,0.8,0.2,2.5
0.467,1.7,0.266,0.484,0.842,0.9,5.2,3.9,1.1,0.2,27.3
0.354,3.6,0.351,0.363,0.778,0.2,2.6,1.1,0.5,0.1,5.1
0.423,5.2,0.363,0.447,0.832,0.6,3.2,3.4,0.9,0.3,22.1
