,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
94,Kawhi Leonard\leonaka01,0.506,4.0,0.44299999999999995,0.528,0.8740000000000001,1.3,6.8,2.6,1.8,1.0,21.2,79
95,Kelly Oubre\oubreke01,0.42700000000000005,1.3,0.316,0.49200000000000005,0.633,0.4,2.1,0.2,0.3,0.1,3.7,79
96,Kent Bazemore\bazemke01,0.441,4.1,0.35700000000000004,0.502,0.815,0.4,5.1,2.3,1.3,0.5,11.6,77
97,Kevin Durant\duranke01,0.505,6.7,0.387,0.569,0.898,0.6,8.2,5.0,1.0,1.2,28.2,81
98,Kobe Bryant\bryanko01,0.358,7.1,0.285,0.41,0.826,0.6,3.7,2.8,0.9,0.2,17.6,78
99,Kyle Anderson\anderky01,0.46799999999999997,0.5,0.324,0.488,0.747,0.3,3.1,1.6,0.8,0.4,4.5,81
100,Kyle Singler\singlky01,0.389,1.4,0.309,0.452,0.659,0.7,2.1,0.4,0.4,0.1,3.4,80
101,Lance Stephenson\stephla01,0.48100000000000004,1.1,0.385,0.5,0.784,0.6,3.2,1.9,0.6,0.1,8.3,78
102,LeBron James\jamesle01,0.52,3.7,0.309,0.573,0.731,1.5,7.4,6.8,1.4,0.6,25.3,80
103,Luke Babbitt\babbilu01,0.42200000000000004,2.3,0.40399999999999997,0.433,0.78,0.5,3.1,1.1,0.2,0.1,7.0,81
104,Marcus Morris\morrima03,0.434,3.7,0.36200000000000004,0.467,0.7490000000000001,1.1,5.1,2.5,0.8,0.3,14.1,81
105,Mario Hezonja\hezonma01,0.433,2.4,0.349,0.504,0.907,0.4,2.2,1.4,0.5,0.2,6.1,80
106,Matt Barnes\barnema02,0.381,4.9,0.322,0.449,0.804,1.1,5.5,2.1,1.0,0.8,10.0,79
107,Maurice Harkless\harklma01,0.474,1.8,0.27899999999999997,0.5760000000000001,0.622,1.3,3.6,0.9,0.6,0.4,6.4,81
108,Metta World Peace\artesro01,0.311,2.4,0.31,0.312,0.7020000000000001,0.5,2.5,0.8,0.6,0.3,5.0,78
109,Mike Dunleavy\dunlemi02,0.41,3.2,0.39399999999999996,0.42700000000000005,0.784,0.3,2.7,1.3,0.5,0.3,7.2,81
110,Nicolas Batum\batumni01,0.426,5.7,0.348,0.49200000000000005,0.8490000000000001,0.8,6.1,5.8,0.9,0.6,14.9,80
111,Otto Porter\porteot01,0.473,3.6,0.36700000000000005,0.536,0.754,1.3,5.2,1.6,1.4,0.4,11.6,80
112,P.J. Hairston\hairspj02,0.355,3.7,0.29,0.449,0.7809999999999999,0.4,2.6,0.6,0.5,0.2,6.2,78
113,P.J. Tucker\tuckepj01,0.41100000000000003,2.5,0.33,0.455,0.746,2.0,6.2,2.2,1.3,0.2,8.0,78
114,Paul George\georgpa01,0.418,7.0,0.371,0.447,0.86,1.0,7.0,4.1,1.9,0.4,23.1,81
115,Paul Pierce\piercpa01,0.363,3.6,0.31,0.445,0.818,0.2,2.7,1.0,0.5,0.3,6.1,79
116,Reggie Bullock\bullore01,0.439,1.4,0.415,0.467,0.9329999999999999,0.4,1.8,0.7,0.3,0.1,3.3,79
117,Richard Jefferson\jefferi01,0.45799999999999996,2.3,0.382,0.5539999999999999,0.667,0.2,1.7,0.8,0.4,0.2,5.5,79
118,Robert Covington\covinro01,0.385,7.2,0.353,0.452,0.7909999999999999,1.0,6.3,1.4,1.6,0.6,12.8,81
119,Rudy Gay\gayru01,0.46299999999999997,3.1,0.344,0.495,0.78,1.5,6.5,1.7,1.4,0.7,17.2,80
120,Sergey Karasev\karasse01,0.405,0.9,0.297,0.514,0.929,0.2,1.5,0.9,0.2,0.1,2.4,79
121,Shabazz Muhammad\muhamsh01,0.465,1.9,0.289,0.516,0.764,1.2,3.3,0.6,0.3,0.1,10.5,78
