FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.53,0,0,0.532,0.669,1.1,4.5,1.1,0.7,0.6,8.1
0.568,0.1,0.25,0.573,0.557,1.8,4.7,0.4,0.3,0.7,5.3
0.529,0.2,0.267,0.538,0.728,2.4,7,1.3,0.6,0.5,8.2
0.534,0,0,0.538,0.778,2,5.9,1.9,0.8,0.5,6.1
0.489,3.1,0.429,0.514,0.783,1.4,7.4,4.7,0.6,1.1,12.9
0.534,0.1,0,0.541,0.833,0.8,4,0.8,0.4,0.6,7
0.566,0,0.333,0.568,0.684,2.5,7.5,1.2,0.4,0.9,8.5
0.538,0.4,0.313,0.57,0.612,1.7,4.5,1.6,0.6,0.6,4.6
0.529,0.1,0,0.536,0.605,5.1,16,3,1.5,1.6,15
0.471,0.3,0.143,0.487,0.756,1.6,5.4,1.1,0.3,0.6,6
0.512,0.1,0,0.523,0.721,1.7,5.5,1.5,0.5,0.6,6.9
0.52,0,0,0.521,0.65,1.8,5.7,0.8,0.3,1.2,5.7
0.465,4.4,0.345,0.549,0.703,1,4,1.7,0.4,1.3,13
0.491,2.2,0.339,0.67,0.895,0.2,2.5,0.7,0.3,0.2,5
0.497,2,0.333,0.684,0.933,0.2,2.5,0.6,0.4,0.3,4.8
0.652,0,0,0.653,0.56,3.3,10.8,0.9,0.8,1.9,13.9
0.545,0.1,0.667,0.542,0.718,2,5.4,0.9,0.4,0.6,7.1
0.591,0,0,0.596,0.667,1.5,4.2,1,0.3,0.2,5.6
0.541,0.9,0.31,0.617,0.753,1.4,4.3,0.9,0.5,0.8,5.3
0.571,0.1,0.375,0.576,0.759,0.9,3.3,1.9,0.6,1,6.8
0.645,0,,0.645,0.58,4.3,15.2,1.5,0.5,0.9,12
0.47,6.1,0.354,0.53,0.746,2.2,12.9,5.4,1.6,1.6,25.2
0.563,0.8,0.222,0.596,0.651,2.6,7.2,1.3,0.7,1.1,12.3
0.524,2.3,0.355,0.595,0.779,1.6,7.9,1.5,0.6,0.8,10
0.608,0,,0.608,0.667,1.2,4,0.6,0.2,0.6,5.8
0.456,4.4,0.409,0.494,0.898,0.3,5.7,1.6,0.6,0.6,12
0.514,0.5,0.351,0.524,0.75,2.2,7.7,2,0.5,0.4,11.6
0.555,0.1,0.143,0.559,0.574,3.1,12.5,1.3,0.6,1.6,16.6
0.593,1.1,0.333,0.656,0.719,1.7,5.6,1.2,0.8,0.4,8.5
0.582,0,0,0.584,0.667,2.3,7.4,0.5,0.4,0.7,5.3
0.5,0,0,0.504,0.75,1.1,2.4,0.8,0.7,1.2,2.6
0.592,0,0,0.594,0.848,3.8,11,1.5,0.5,0.5,14.1
0.479,0.8,0.311,0.511,0.775,1.3,4.6,0.9,0.6,0.5,5.9
0.565,0,,0.565,0.739,2.1,6.9,2.2,0.9,0.5,10.3
0.54,0,1,0.538,0.703,3.2,11.4,1,0.7,1.7,14
0.556,0,0,0.561,0.703,1.8,4.1,0.7,0.5,0.5,4.8
0.659,0,0.5,0.66,0.594,2,4.8,0.7,0.5,1.2,6.9
0.589,0.2,0.333,0.599,0.776,2,5.4,0.7,0.4,1.2,8.2
0.483,3.4,0.308,0.527,0.769,2.3,11,3.2,0.6,1.8,22.9
0.572,0.1,0.143,0.578,0.57,2,6.8,1.5,0.6,1.4,8.8
0.568,1,0.405,0.587,0.806,2.4,8.6,1.1,0.4,0.9,12.7
0.627,0.1,0,0.641,0.682,1.1,3.6,1.8,0.6,1,4.6
0.558,0.5,0.222,0.575,0.718,2.2,8,2.6,0.5,0.5,16.1
0.505,0.1,0,0.508,0.63,2.4,9,1.8,0.8,1.4,14.3
0.545,3.5,0.421,0.585,0.858,2.9,12.3,2.4,0.8,1.4,21.3
0.458,5.6,0.415,0.494,0.88,1.7,9.3,1.7,0.7,0.4,17.6
0.58,0.1,0.2,0.59,0.545,1.3,3.3,0.6,0.5,0.8,4
0.54,0,,0.54,0.689,1.7,4.3,0.8,0.4,0.5,4.2
0.571,0,,0.571,0.446,2.1,6.6,1.2,0.7,0.5,6.7
0.583,0.2,0.235,0.599,0.772,1.6,6.1,2.1,0.5,1.3,7.1
0.51,1.2,0.293,0.526,0.837,3.3,8.5,2,0.6,1.2,23.1
0.581,0.2,0.167,0.594,0.664,2.4,6.8,1.2,1.3,0.6,8.7
0.42,4.4,0.341,0.456,0.834,1.1,8.1,4.2,0.7,1.4,17.2
0.518,0,,0.518,0.675,2.2,7.6,1.8,0.5,0.7,8.4
0.395,4.5,0.369,0.448,0.727,0.4,2.6,0.8,0.2,0.4,7.7
0.601,0,0,0.602,0.458,1.8,5.4,1.9,0.7,1.1,7.1
0.458,3.2,0.371,0.559,0.919,1.1,4.3,1,0.6,0.5,7.6
0.583,0,,0.583,0.45,1.4,4.1,0.8,0.3,0.5,4.3
0.635,0.1,0.143,0.641,0.626,1.4,4,1,0.5,0.7,11
0.479,2.4,0.357,0.519,0.777,1.4,6.4,1.3,0.6,1.8,12.7
0.569,0,0,0.574,0.636,1,3.4,0.9,0.5,0.3,6.5
0.524,0,0,0.529,0.75,1.6,5.6,0.7,1,0.7,4.4
0.499,3.7,0.396,0.538,0.85,2.6,10.7,6.1,1.2,0.8,18.5
0.475,3.6,0.314,0.527,0.819,1.8,9.2,3.4,1,1.1,16.5
0.458,1.6,0.358,0.481,0.756,1.7,8,3.1,0.3,1,10.1
0.56,0.6,0.129,0.624,0.661,1.2,4.4,1.3,0.4,0.6,6.5
0.53,0.2,0.286,0.536,0.756,2.1,4.5,1.9,0.2,0.8,11.8
0.622,0,,0.622,0.682,2.9,10.7,1.4,0.8,2.3,13.5
0.642,0,0,0.657,0.576,1.4,4,0.6,0.4,1.1,3.5
0.629,0,0,0.631,0.559,5.1,9,1.2,1.2,1,13.9
0.591,0.2,0.091,0.638,0.46,1.2,3.2,0.3,0.4,0.6,3.5
0.411,1.4,0.298,0.467,0.699,1,3,0.6,0.5,0.7,4.8
0.559,0.6,0.222,0.64,0.767,1,3.2,0.4,0.2,0.4,4.2
0.562,0,,0.562,0.544,2.4,6.6,0.6,0.3,0.3,5.8
0.56,0.4,0.357,0.578,0.722,1.7,4.6,0.7,0.2,0.5,6.7
0.647,0,,0.647,0.624,2.9,9.1,1.2,0.3,0.6,6.5
0.502,0.2,0.25,0.506,0.619,1.8,7,2.4,1.1,0.9,12.8
0.669,0,0.5,0.672,0.582,0.8,2.9,0.2,0.2,0.5,4.6
0.555,0.3,0.417,0.566,0.656,1.3,3.8,0.7,0.4,0.3,5.1
0.398,1.7,0.31,0.455,0.643,0.7,3.3,0.8,0.3,0.5,4.4
0.564,0,0,0.567,0.806,1.3,4.7,1.6,0.6,0.2,5.4
,,,,,,,,,,
,0.605734767,,,,1.969175627,,,,,
,1.224114457,,,,0.9219054993,,,,,
,1.498456203,,,,0.8499097496,,,,,
