FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.477,2.8,0.312,0.527,0.727,0.8,3.8,5.8,1,0.2,14.1
0.428,5.7,0.359,0.462,0.871,0.6,3,6.2,1.1,0.1,22.2
0.411,2.2,0.329,0.428,0.693,0.6,4,6.5,1.1,0.3,12.6
0.446,3.5,0.385,0.481,0.771,0.4,2.1,4.1,0.4,0,10.9
0.368,3.7,0.299,0.429,0.857,0.5,2.9,4.9,0.6,0.1,7.7
0.391,3.2,0.304,0.426,0.893,0.3,4.3,7.4,1.1,0.2,12.8
0.439,3.5,0.4,0.454,0.837,0.4,2.7,5.9,1.2,0.3,15.7
0.394,1.3,0.22,0.454,0.78,0.3,1.9,2.3,0.7,0.1,5.6
0.424,4.3,0.351,0.448,0.791,0.5,4.9,10.2,1.9,0.8,19.9
0.459,2.8,0.414,0.496,0.875,0.3,3.2,4.1,0.9,0.1,7.6
0.439,4,0.336,0.478,0.843,0.4,3,6,1.4,0.3,16.8
0.427,6,0.371,0.459,0.847,0.7,4.4,5.2,1.6,0.5,20.9
0.364,1.6,0.327,0.391,0.692,0.1,0.9,2.4,0.5,0.1,3.7
0.38,1.3,0.387,0.373,0.938,0.2,1.5,1.6,0.3,0,3
0.427,7.1,0.388,0.461,0.811,0.7,4.7,6.4,2.1,0.4,21.2
0.448,4.9,0.321,0.502,0.885,0.8,3,4.7,1.1,0.3,19.6
0.393,2.7,0.344,0.423,0.754,0.5,3.5,2.5,0.9,0.3,7.6
0.422,1.2,0.262,0.479,0.931,0.3,1.7,3.4,0.5,0.1,4.5
0.348,4,0.253,0.427,0.777,1.2,4.2,3,1.5,0.3,9.1
0.41,2.4,0.309,0.461,0.832,0.4,2.6,3.8,1.4,0.2,10.3
0.405,3.1,0.41,0.401,0.864,0.4,2.1,4.4,0.6,0.1,7.5
0.452,1,0.273,0.472,0.654,0.9,5.1,5.2,1.5,0.8,11.5
0.422,3.8,0.363,0.449,0.834,0.5,2.9,6.1,1.2,0.3,15.3
0.437,2.5,0.353,0.48,0.905,0.1,1.8,2.4,0.3,0.1,8.2
0.405,2.3,0.324,0.427,0.8,0.2,3.4,3.7,0.8,0.1,10.6
0.374,1.6,0.295,0.519,0.875,0.6,1.9,2.2,0.9,0,2.5
0.434,4.4,0.4,0.472,0.682,1,3.5,3.4,1.3,0.4,9.9
0.425,4,0.384,0.469,0.81,0.3,2,2.8,0.7,0.1,8.5
0.454,2.4,0.365,0.479,0.58,1.1,6,11.7,2,0.1,11.9
0.473,1.4,0.324,0.507,0.756,0.3,2.5,2.9,0.6,0.1,9.9
0.431,2,0.395,0.453,0.743,0.2,1.5,2.1,0.8,0,5.9
0.377,1,0.357,0.385,0.8,0.2,1.1,1.5,0.3,0.2,3.3
0.406,2.7,0.282,0.463,0.847,0.5,3.2,3.6,0.9,0.2,9.5
0.434,4.2,0.353,0.464,0.864,0.7,3.2,6.2,0.7,0.1,18.8
0.374,2.5,0.326,0.396,0.847,0.5,4.3,8.7,2.1,0.1,10.1
0.413,1.4,0.241,0.453,0.829,0.3,2.7,2.4,0.7,0.1,8.9
0.384,3.2,0.347,0.453,0.756,0.4,1.6,2.4,1.2,0.2,5.3
0.454,4.3,0.296,0.503,0.812,1.8,7.8,10.4,2,0.3,23.5
0.455,2.5,0.45,0.46,0.833,0.2,1.4,1.5,0.5,0.1,6.8
0.338,1.9,0.327,0.351,0.733,0.2,1,1.8,0.4,0,3.7
0.442,1.4,0.361,0.464,0.776,0.4,2.3,4.4,1.2,0.2,7.3
0.536,0.2,0.167,0.548,0.86,0.5,2.2,3,0.7,0.3,6.3
0.439,2.4,0.312,0.493,0.738,0.3,2.5,3.6,0.7,0.1,8.6
0.504,11.2,0.454,0.566,0.908,0.9,5.4,6.7,2.1,0.2,30.1
0.388,2.6,0.344,0.461,0.8,0.2,1.5,3.4,0.4,0.1,4.4
0.47,1.1,0.348,0.499,0.634,0.5,3.1,4.5,1.2,0.1,6.1
0.419,0.9,0.333,0.442,0.716,0.5,2.2,3.2,0.6,0,5.1
0.411,3.3,0.399,0.421,0.848,0.4,2.3,2.6,1.1,0.1,8.7
