,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
92,Jahlil Okafor\okafoja01,0.508,0.1,0.16699999999999998,0.511,0.6859999999999999,2.3,7.0,1.2,0.4,1.2,17.5,83
93,Jason Smith\smithja02,0.485,0.2,0.25,0.493,0.8059999999999999,0.7,2.9,0.8,0.4,0.9,7.2,84
94,Jason Thompson\thompja02,0.48100000000000004,0.3,0.33299999999999996,0.505,0.7040000000000001,0.7,2.9,0.6,0.3,0.4,3.1,83
95,JaVale McGee\mcgeeja01,0.575,0.0,0.0,0.579,0.5,1.6,3.9,0.1,0.1,0.8,5.1,84
96,Jeff Withey\witheje01,0.537,0.0,0.0,0.544,0.7290000000000001,1.1,3.4,0.4,0.4,1.0,4.3,84
97,Joffrey Lauvergne\lauvejo01,0.513,0.9,0.245,0.557,0.899,1.3,4.9,0.9,0.2,0.3,7.9,83
98,John Henson\hensojo01,0.564,0.0,0.0,0.5660000000000001,0.59,1.5,3.9,0.9,0.3,1.9,7.0,83
100,Jordan Hill\hilljo01,0.506,0.0,0.0,0.507,0.7120000000000001,2.1,6.2,1.2,0.5,0.5,8.8,82
101,Jusuf Nurkic\nurkiju01,0.41700000000000004,0.1,0.0,0.423,0.616,2.0,5.5,1.3,0.8,1.4,8.2,84
102,Karl-Anthony Towns\townska01,0.542,1.1,0.341,0.5589999999999999,0.8109999999999999,2.8,10.5,2.0,0.7,1.7,18.3,84
103,Kelly Olynyk\olynyke01,0.455,3.0,0.405,0.486,0.75,1.0,4.1,1.5,0.8,0.5,10.0,84
105,Kevin Seraphin\serapke01,0.41,0.0,0.0,0.414,0.826,0.6,2.6,1.0,0.2,0.8,3.9,81
107,Marc Gasol\gasolma01,0.46399999999999997,0.1,0.667,0.46299999999999997,0.8290000000000001,1.1,7.0,3.8,1.0,1.3,16.6,85
108,Marcin Gortat\gortama01,0.5670000000000001,0.0,0.0,0.5670000000000001,0.705,3.0,9.9,1.4,0.6,1.3,13.5,83
109,Marreese Speights\speigma01,0.43200000000000005,0.9,0.387,0.439,0.825,1.1,3.3,0.8,0.3,0.5,7.1,82
110,Mason Plumlee\plumlma01,0.516,0.0,0.0,0.52,0.642,2.5,7.7,2.8,0.8,1.0,9.1,83
112,Myles Turner\turnemy01,0.498,0.2,0.214,0.506,0.727,1.1,5.5,0.7,0.4,1.4,10.3,83
113,Nerlens Noel\noelne01,0.521,0.0,0.5,0.521,0.59,2.3,8.1,1.8,1.8,1.5,11.1,83
114,Nikola Jokic\jokicni01,0.512,1.1,0.33299999999999996,0.541,0.8109999999999999,2.3,7.0,2.4,1.0,0.6,10.0,84
115,Nikola Vucevic\vucevni01,0.51,0.1,0.222,0.512,0.753,2.7,8.9,2.8,0.8,1.1,18.2,84
117,Pau Gasol\gasolpa01,0.469,1.0,0.348,0.478,0.792,2.2,11.0,4.1,0.6,2.0,16.5,84
118,Robin Lopez\lopezro01,0.539,0.0,0.0,0.54,0.795,3.3,7.3,1.4,0.2,1.6,10.3,84
119,Roy Hibbert\hibbero01,0.44299999999999995,0.0,0.0,0.445,0.807,1.6,4.9,1.2,0.4,1.4,5.9,86
122,Salah Mejri\mejrisa01,0.628,0.0,0.0,0.636,0.5870000000000001,1.2,3.6,0.3,0.2,1.1,3.7,86
125,Tiago Splitter\splitti01,0.523,0.1,0.0,0.529,0.813,1.3,3.3,0.8,0.6,0.3,5.6,83
126,Tim Duncan\duncati01,0.488,0.0,0.0,0.49,0.7020000000000001,1.9,7.3,2.7,0.8,1.3,8.6,83
127,Timofey Mozgov\mozgoti01,0.565,0.1,0.14300000000000002,0.574,0.716,1.4,4.4,0.4,0.3,0.8,6.3,85
129,Tyson Chandler\chandty01,0.583,0.0,0.0,0.585,0.62,2.7,8.7,1.0,0.5,0.7,7.2,85
130,Willie Cauley-Stein\caulewi01,0.563,0.0,0.0,0.5670000000000001,0.648,2.0,5.3,0.6,0.7,1.0,7.0,84
132,Zaza Pachulia\pachuza01,0.466,0.0,0.0,0.469,0.768,3.3,9.4,1.7,0.8,0.3,8.6,83
133,Al Horford\horfoal01,0.473,3.6,0.355,0.524,0.8,1.4,6.8,5.0,0.8,1.3,14.0,82
134,Al Jefferson\jeffeal01,0.499,0.0,0.0,0.5,0.765,1.1,4.2,0.9,0.3,0.2,8.1,82
135,Alan Williams\willial03,0.517,0.0,0.0,0.519,0.625,2.0,6.2,0.5,0.6,0.7,7.4,80
136,Alex Len\lenal01,0.49700000000000005,0.2,0.25,0.503,0.721,2.0,6.6,0.6,0.5,1.3,8.0,85
137,Alexis Ajinca\ajincal01,0.5,0.1,0.0,0.511,0.725,1.2,4.5,0.3,0.5,0.6,5.3,86
138,Andre Drummond\drumman01,0.53,0.1,0.28600000000000003,0.532,0.386,4.3,13.8,1.1,1.5,1.1,13.6,83
139,Anthony Davis\davisan02,0.505,1.8,0.299,0.524,0.802,2.3,11.8,2.1,1.3,2.2,28.0,82
142,Brook Lopez\lopezbr01,0.474,5.2,0.34600000000000003,0.536,0.81,1.6,5.4,2.3,0.5,1.7,20.5,84
143,Channing Frye\fryech01,0.45799999999999996,4.5,0.409,0.546,0.851,0.5,3.9,0.6,0.4,0.5,9.1,84
145,Cody Zeller\zelleco01,0.5710000000000001,0.0,0.0,0.5720000000000001,0.679,2.2,6.5,1.6,1.0,0.9,10.3,84
147,David West\westda01,0.536,0.1,0.375,0.541,0.768,0.7,3.0,2.2,0.6,0.7,4.6,81
148,DeAndre Jordan\jordade01,0.7140000000000001,0.0,0.0,0.7170000000000001,0.48200000000000004,3.7,13.8,1.2,0.6,1.7,12.7,83
149,DeMarcus Cousins\couside01,0.452,5.0,0.361,0.483,0.772,2.1,11.0,4.6,1.4,1.3,27.0,83
151,Dwight Howard\howardw01,0.633,0.0,0.0,0.635,0.5329999999999999,4.0,12.7,1.4,0.9,1.2,13.5,83
152,Dwight Powell\poweldw01,0.515,1.0,0.284,0.5710000000000001,0.759,1.2,4.0,0.6,0.8,0.5,6.7,83
153,Enes Kanter\kanteen01,0.545,0.5,0.132,0.568,0.7859999999999999,2.7,6.7,0.9,0.4,0.5,14.3,83
154,Frank Kaminsky\kaminfr01,0.39899999999999997,4.7,0.32799999999999996,0.455,0.7559999999999999,0.8,4.5,2.2,0.6,0.5,11.7,84
155,Greg Monroe\monrogr01,0.5329999999999999,0.0,0.0,0.536,0.741,2.1,6.6,2.3,1.1,0.5,11.7,83
158,Ivica Zubac\zubaciv01,0.529,0.1,0.0,0.536,0.653,1.1,4.2,0.8,0.4,0.9,7.5,85
161,Jason Smith\smithja02,0.529,1.1,0.474,0.546,0.6859999999999999,0.9,3.5,0.5,0.3,0.7,5.7,84
162,Joakim Noah\noahjo01,0.49,0.0,0.0,0.493,0.436,3.5,8.8,2.2,0.7,0.8,5.0,83
163,Joel Embiid\embiijo01,0.466,3.2,0.36700000000000005,0.495,0.7829999999999999,2.0,7.8,2.1,0.9,2.5,20.2,84
164,John Henson\hensojo01,0.515,0.0,0.0,0.516,0.6920000000000001,1.6,5.1,1.0,0.5,1.3,6.8,83
165,Jonas Valanciunas\valanjo01,0.557,0.0,0.5,0.557,0.8109999999999999,2.8,9.5,0.7,0.5,0.8,12.0,84
166,Justin Hamilton\hamilju01,0.45899999999999996,2.8,0.306,0.598,0.75,1.1,4.1,0.9,0.5,0.7,6.9,84
167,Jusuf Nurkic\nurkiju01,0.507,0.0,0.0,0.508,0.5710000000000001,2.4,7.2,1.9,0.8,1.1,10.2,84
168,Karl-Anthony Towns\townska01,0.542,3.4,0.36700000000000005,0.5820000000000001,0.8320000000000001,3.6,12.3,2.7,0.7,1.3,25.1,84
169,Kelly Olynyk\olynyke01,0.512,2.6,0.354,0.608,0.732,1.0,4.8,2.0,0.6,0.4,9.0,84
170,Kosta Koufos\koufoko01,0.551,0.0,0.0,0.552,0.613,1.7,5.7,0.7,0.5,0.7,6.6,84
