,Player,FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS,Height
82,Anthony Morrow\morroan01,0.408,3.0,0.387,0.442,0.7440000000000001,0.1,0.9,0.4,0.3,0.1,5.6,77
83,Arron Afflalo\afflaar01,0.44299999999999995,3.4,0.382,0.469,0.84,0.3,3.7,2.0,0.4,0.1,12.8,77
84,Austin Rivers\riverau01,0.43799999999999994,2.8,0.335,0.495,0.6809999999999999,0.3,1.9,1.5,0.7,0.1,8.9,76
85,Avery Bradley\bradlav01,0.447,5.4,0.361,0.505,0.78,0.6,2.9,2.1,1.5,0.3,15.2,74
86,Ben McLemore\mclembe01,0.429,2.7,0.36200000000000004,0.474,0.718,0.5,2.2,1.2,0.8,0.1,7.8,77
87,Bradley Beal\bealbr01,0.449,4.9,0.387,0.48100000000000004,0.767,0.7,3.4,2.9,1.0,0.2,17.4,77
88,Brandon Knight\knighbr03,0.415,6.8,0.342,0.461,0.852,0.7,3.9,5.1,1.2,0.4,19.6,75
89,Brandon Rush\rushbr01,0.42700000000000005,2.2,0.414,0.447,0.643,0.3,2.5,0.8,0.3,0.3,4.2,78
90,CJ McCollum\mccolcj01,0.44799999999999995,5.9,0.41700000000000004,0.46299999999999997,0.8270000000000001,0.6,3.2,4.3,1.2,0.3,20.8,75
91,Cory Joseph\josepco01,0.439,1.4,0.273,0.478,0.764,0.5,2.6,3.1,0.8,0.3,8.5,75
92,Courtney Lee\leeco01,0.45399999999999996,2.7,0.37799999999999995,0.493,0.8390000000000001,0.4,2.6,1.7,1.1,0.4,9.6,77
93,Danny Green\greenda02,0.376,4.4,0.332,0.44799999999999995,0.7390000000000001,0.6,3.8,1.8,1.0,0.8,7.2,78
94,Darrun Hilliard\hillida01,0.397,1.3,0.38,0.40700000000000003,0.725,0.1,1.2,0.7,0.2,0.0,4.0,78
95,DeMar DeRozan\derozde01,0.446,1.8,0.33799999999999997,0.45799999999999996,0.85,0.8,4.5,4.0,1.0,0.3,23.5,79
96,Devin Booker\bookede01,0.423,3.8,0.34299999999999997,0.46399999999999997,0.84,0.4,2.5,2.6,0.6,0.3,13.8,78
97,Dion Waiters\waitedi01,0.39899999999999997,3.1,0.358,0.42100000000000004,0.713,0.5,2.6,2.0,1.0,0.2,9.8,76
98,Dwyane Wade\wadedw01,0.456,0.6,0.159,0.46799999999999997,0.7929999999999999,1.1,4.1,4.6,1.1,0.6,19.0,76
99,E'Twaun Moore\mooreet01,0.48100000000000004,1.8,0.452,0.491,0.629,0.3,2.3,1.7,0.6,0.3,7.5,76
100,Eric Gordon\gordoer01,0.418,6.5,0.384,0.457,0.888,0.2,2.2,2.7,1.0,0.3,15.2,76
101,Evan Turner\turneev01,0.456,1.0,0.24100000000000002,0.48200000000000004,0.8270000000000001,0.6,4.9,4.4,1.0,0.3,10.5,79
102,Gary Harris\harriga01,0.469,3.9,0.354,0.5429999999999999,0.82,0.7,2.9,1.9,1.3,0.2,12.3,76
103,Gary Neal\nealga01,0.465,2.5,0.41,0.489,0.855,0.3,2.1,1.2,0.5,0.0,9.8,76
104,Gerald Green\greenge01,0.392,3.8,0.32299999999999995,0.446,0.7829999999999999,0.4,2.4,0.8,0.6,0.3,8.9,79
105,Gerald Henderson\hendege02,0.439,1.9,0.353,0.46799999999999997,0.767,0.4,2.9,1.0,0.5,0.3,8.7,77
106,Hollis Thompson\thompho01,0.397,5.1,0.38,0.42,0.7190000000000001,0.7,3.5,1.3,0.5,0.3,9.8,80
107,Iman Shumpert\shumpim01,0.374,2.7,0.295,0.447,0.784,0.6,3.8,1.7,1.0,0.4,5.8,77
108,Isaiah Canaan\canaais01,0.36,6.3,0.363,0.354,0.833,0.3,2.3,1.8,0.7,0.2,11.0,72
109,J.J. Redick\redicjj01,0.48,5.6,0.475,0.484,0.888,0.1,1.9,1.4,0.6,0.1,16.3,76
110,J.R. Smith\smithjr01,0.415,6.6,0.4,0.43799999999999994,0.634,0.6,2.8,1.7,1.1,0.3,12.4,78
111,Jamal Crawford\crawfja01,0.40399999999999997,4.4,0.34,0.44,0.904,0.3,1.8,2.3,0.7,0.2,14.2,77
112,James Anderson\anderja01,0.376,1.7,0.267,0.478,0.759,0.3,1.7,0.8,0.4,0.3,3.5,78
113,James Harden\hardeja01,0.439,8.0,0.359,0.494,0.86,0.8,6.1,7.5,1.7,0.6,29.0,77
114,Jason Terry\terryja01,0.402,3.6,0.35600000000000004,0.504,0.818,0.2,1.1,1.4,0.7,0.1,5.9,74
115,Jeremy Lamb\lambje01,0.451,2.7,0.309,0.529,0.727,0.7,3.8,1.2,0.6,0.5,8.8,77
116,Jeremy Lin\linje01,0.41200000000000003,2.9,0.336,0.446,0.815,0.5,3.2,3.0,0.7,0.5,11.7,75
117,Jerryd Bayless\bayleje01,0.423,4.4,0.43700000000000006,0.408,0.778,0.4,2.7,3.1,0.9,0.2,10.4,75
118,Jimmy Butler\butleji01,0.45399999999999996,3.1,0.312,0.489,0.8320000000000001,1.2,5.3,4.8,1.6,0.6,20.9,80
119,John Jenkins\jenkijo01,0.444,1.2,0.314,0.505,0.833,0.2,1.3,0.8,0.2,0.0,4.1,76
120,Jonathon Simmons\simmojo02,0.504,0.9,0.38299999999999995,0.5329999999999999,0.75,0.3,1.7,1.1,0.4,0.1,6.0,78
121,Jordan Clarkson\clarkjo01,0.433,4.1,0.34700000000000003,0.46799999999999997,0.804,1.2,4.0,2.4,1.1,0.1,15.5,77
122,Josh Richardson\richajo01,0.452,2.2,0.461,0.446,0.667,0.4,2.1,1.4,0.7,0.5,6.6,78
123,Justin Holiday\holidju01,0.386,2.0,0.34299999999999997,0.423,0.73,0.2,1.7,1.1,0.6,0.4,4.5,78
124,Kentavious Caldwell-Pope\caldwke01,0.42,4.9,0.309,0.489,0.8109999999999999,0.9,3.7,1.8,1.4,0.2,14.5,77
