FG%,3PA,3P%,2P%,FT%,ORB,TRB,AST,STL,BLK,PTS
0.402,3.1,0.414,0.366,0.733,0.2,2.1,0.5,0.3,0.2,4.8
0.387,2.9,0.309,0.436,0.73,1.1,5.3,1.3,0.9,0.4,7.6
0.418,4.5,0.331,0.466,0.784,1,4.6,2,0.7,0.3,14
0.355,2.2,0.299,0.398,0.8,0.3,2.2,1,0.5,0.2,4.9
0.391,3.6,0.331,0.467,0.787,0.9,5.2,2.6,0.6,0.4,7.1
0.503,2.5,0.351,0.572,0.621,1.6,4.4,1.1,1.1,0.9,10
0.477,0.1,0.111,0.483,0.784,1.9,7,1.4,1,1,9.2
0.423,2.5,0.396,0.465,0.8,0.3,2.2,0.9,0.3,0.1,5.2
0.428,2.5,0.321,0.517,0.809,0.7,1.9,1,0.4,0.2,6.3
0.516,4.3,0.434,0.576,0.832,1.5,6.4,1.5,1.5,0.5,13.4
0.413,2.4,0.357,0.451,0.774,1.4,5.8,1.2,1.4,0.2,6.7
0.461,6.6,0.393,0.501,0.898,0.8,6.6,3.3,1.6,0.4,23.7
0.398,2.3,0.333,0.451,0.775,0.3,2.8,0.8,0.3,0.4,5.5
0.422,2.4,0.384,0.473,0.714,0.4,2.1,0.9,0.6,0.1,4.5
0.446,2.4,0.333,0.58,0.741,0.4,2.6,1,0.3,0.1,5.7
0.399,6.1,0.333,0.484,0.822,1.4,6.5,1.5,1.9,1,12.9
0.434,0.9,0.224,0.463,0.751,1.2,5.8,2,1.1,0.6,8.7
0.455,3.8,0.372,0.483,0.855,1.2,6.3,2.8,1.5,0.9,18.7
0.482,1.9,0.338,0.528,0.774,1.1,2.8,0.4,0.3,0.1,9.9
0.383,3.4,0.348,0.428,0.805,0.6,3.8,1.8,0.9,0.4,7
0.353,2,0.292,0.398,0.679,0.5,2.5,1.4,0.7,0.3,4.4
0.495,1.5,0.265,0.527,0.773,1.9,5.1,1.1,1.2,0.6,14.4
0.4,1.7,0.324,0.443,0.787,0.4,2.7,0.9,0.7,0.5,5.7
0.437,5,0.363,0.518,0.831,0.2,2.6,1.1,1.1,0.4,11
0.441,1.9,0.342,0.484,0.733,0.9,4.4,1.7,1.5,0.5,7.2
0.402,2.3,0.311,0.475,0.854,0.4,2.2,1.1,0.5,0.1,6.4
0.409,6.9,0.344,0.556,0.738,0.7,5.7,2.2,1.8,0.3,11.7
0.437,2.1,0.29,0.524,0.656,0.5,2.3,0.8,0.9,0.3,6.2
0.405,3,0.356,0.429,0.75,0.3,3.4,3.1,0.9,0.2,10.3
0.394,4.1,0.378,0.418,0.765,0.5,3.1,1.8,0.8,0.5,8
0.365,1.7,0.246,0.537,0.647,0.4,2.7,0.3,0.4,0.4,2.7
0.461,4.6,0.337,0.527,0.727,1.5,6.5,2,0.7,0.4,15.7
0.336,1.4,0.354,0.321,0.59,0.3,1.5,0.5,0.3,0.2,3
0.463,1.8,0.282,0.567,0.632,0.8,3.8,3.3,0.8,0.6,6
0.438,4.1,0.331,0.475,0.643,1,4.4,2,1.1,0.6,17.7
0.474,4.8,0.402,0.534,0.868,0.4,3.4,1.5,0.7,0.1,14.3
0.47,1.8,0.39,0.483,0.681,1,5.3,3.9,0.8,0.7,16.1
0.379,6.5,0.361,0.434,0.835,0.3,2.2,0.8,0.5,0.3,10
0.435,3.5,0.347,0.48,0.711,0.7,3.7,4.2,1.2,0.3,12.1
0.484,1.4,0.368,0.586,0.565,0.3,2,0.7,0.4,0,3.9
0.462,3.4,0.421,0.504,0.63,0.4,2.5,1.9,0.5,0.3,7.9
0.451,2.3,0.345,0.541,0.596,1.1,4.1,0.7,0.5,0.4,5.7
0.444,4.4,0.411,0.535,0.866,0.2,2,1.4,0.3,0.2,7.8
0.44,3.2,0.356,0.484,0.747,0.6,3.1,1.6,0.9,0.2,11
0.467,2.7,0.426,0.497,0.79,0.5,2.5,1,0.2,0.2,7.8
0.459,5.9,0.379,0.516,0.867,0.4,3.2,2.9,0.8,0.3,17.8
0.447,1.7,0.318,0.485,0.85,0.4,3.1,2.2,0.6,0.4,8.2
