FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS,,,
0.413,0.342,0.52,0.773,5.5,1.1,0.8,0.8,10.6,2.4,2.9,10.2
0.481,0.35,0.492,0.638,5.2,0.4,0.4,0.4,4.4,0.8,3,4.3
0.379,0.353,0.396,0.909,2.3,0.6,0.3,0.3,2.8,1.4,2.6,13.1
0.47,0.349,0.512,0.586,3.1,1,0.6,0.1,5.2,1.3,3.1,10
0.502,0.143,0.515,0.688,3.4,0.3,0.5,0.8,4.2,1.3,1.6,19.2
0.401,0.372,0.458,0.717,4.5,1.2,0.6,0.4,6.8,1.8,2.2,20.1
0.442,0.311,0.486,0.768,7.7,3.7,1.3,0.9,18.1,2.3,2.6,12.8
0.412,0.411,0.413,0.75,3,0.5,0.4,0.4,5.8,1.2,3.2,8.9
0.418,0.403,0.446,0.86,4.6,0.9,0.4,0.2,13.6,1.1,2.4,6.8
0.473,0.321,0.591,0.559,3.7,1,0.5,0.3,6.5,0.7,2.2,3.9
0.48,0.391,0.522,0.856,6.8,0.9,0.5,1.6,14.8,1.1,1.5,9.2
0.537,0.375,0.543,0.703,4.9,0.8,0.5,0.4,8.8,0.6,1.9,5.5
0.484,0.309,0.556,0.846,3.5,1.5,0.3,0.6,6.2,0.9,1.9,10.2
0.515,0.231,0.52,0.715,6.2,0.9,0.5,0.8,10.8,0.5,1.6,3.8
0.47,0.253,0.508,0.606,5.7,1.1,0.7,1,10.8,0.5,1,4.9
0.527,0.381,0.557,0.523,6.1,1.6,1.5,0.4,11,2.3,3.4,13.2
0.536,0,0.538,0.47,4.6,0.6,0.5,0.2,5,1,2,9.6
0.481,0.347,0.537,0.841,5.1,1.7,0.7,0.5,16.1,2.2,1.9,25.1
0.516,0.321,0.546,0.673,8,1.9,1.1,0.4,10,2,2.1,19
0.362,0.319,0.4,0.722,3.3,1,0.4,0.3,6.2,0.6,1.3,4.7
0.449,0.223,0.474,0.731,8.2,1.7,0.5,0.1,14.1,0.5,1.2,4.6
0.434,0.336,0.497,0.698,7.9,2.3,1,0.8,17.6,1.8,3.7,18.1
0.395,0.369,0.432,0.738,7.6,1.2,1.1,0.6,9.3,1.4,2.2,17.3
0.534,0.34,0.558,0.828,11.1,2.3,1.5,2.6,28.1,0.5,1.8,6
0.464,0.436,0.561,0.797,3.1,1.1,0.4,0.3,8.9,0.9,2.4,7.1
0.438,0.345,0.482,0.785,7.4,5.8,0.7,0.3,21.4,0.5,1.3,2.9
0.471,0.359,0.514,0.769,6.8,1.7,0.7,0.3,13.2,0.9,1.8,5.1
0.404,0.357,0.437,0.767,5.8,1.3,0.6,0.6,16.2,1.7,3.3,14
0.58,,0.58,0.758,4.1,0.4,0.2,0.4,4.9,1.3,3.2,9.2
0.453,0.393,0.501,0.86,6.7,2.6,0.7,0.3,14.6,0.8,1.8,11.2
0.44,0.373,0.588,0.816,2,1,0.3,0.4,5.9,0.4,0.9,3.1
0.414,0.371,0.457,0.764,6.6,2,0.8,0.4,13.5,0.5,2.3,5.4
0.386,0.366,0.426,0.765,4.4,1.6,0.3,0.6,6.5,1.2,1.6,9.4
0.454,0.301,0.562,0.775,7.6,7.3,1.4,1.3,11,0.5,1.6,6.4
0.541,,0.541,0.379,4.1,1.2,0.5,0.8,2.1,0.9,2.4,6.2
0.452,0.36,0.517,0.778,5.9,1.3,0.9,0.4,10.9,1.1,1.8,10.6
0.429,0.38,0.459,0.799,3.6,1.6,0.5,0.2,11.1,0.9,2.1,4.4
