FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.463,0.344,0.495,0.78,6.5,1.7,1.4,0.7,17.2
0.405,0.297,0.514,0.929,1.5,0.9,0.2,0.1,2.4
0.465,0.289,0.516,0.764,3.3,0.6,0.3,0.1,10.5
0.447,0.324,0.515,0.857,2.8,1,0.6,0.2,4.2
0.375,0.307,0.41,0.784,4.2,1.6,0.8,0.2,8.1
0.501,0.4,0.52,0.703,3.1,0.9,0.8,0.3,11
0.445,0.174,0.476,0.684,1.9,0.9,0.5,0.2,2.9
0.431,0.386,0.484,0.79,2.5,0.8,0.7,0.3,9.9
0.505,0.339,0.589,0.626,4.5,1.4,1.1,0.5,6.4
0.372,0.361,0.38,0.909,3.1,1,0.3,0.3,5.3
0.416,0.371,0.478,0.783,4.5,2.3,2,0.3,12.7
0.404,0.333,0.51,0.652,3.1,0.6,1.1,0.7,6.9
0.388,0.36,0.432,0.863,3.1,1.9,1,0.2,12.5
0.454,0.288,0.528,0.719,5.1,1.9,0.8,0.5,12.7
0.375,0.318,0.444,0.75,0.8,0.4,0.1,0,2.9
0.528,0.362,0.651,0.706,4,3.4,1,0.5,7.6
0.464,0.245,0.609,0.423,5.1,1,1.2,1,6.6
0.452,0.356,0.473,0.76,4,2.3,1,0.4,23.6
0.445,0.367,0.512,0.893,3.4,1.4,0.4,0.1,13.7
0.402,0.294,0.443,0.621,4,2.1,0.6,0.5,9.4
0.434,0.413,0.471,0.903,3,0.6,0.6,0.3,10.7
0.45,0.321,0.571,0.72,3.3,1.9,0.9,0.1,8.2
0.433,0.359,0.466,0.833,5.9,2.9,0.8,0.5,22.4
0.338,0.269,0.388,0.814,2.5,1.6,0.6,0.1,6.2
0.422,0.229,0.522,0.735,2,1.2,0.7,0.2,4.5
0.447,0.389,0.491,0.902,5.2,2.1,0.6,0.2,18.2
0.4,0.341,0.483,0.761,3.8,1,1.1,0.4,8.9
0.562,0.273,0.591,0.707,2.5,0.4,0.4,0.4,5.3
0.447,0.37,0.502,0.845,2.7,0.9,0.2,0.1,9
0.426,0.263,0.47,0.825,3.8,3.2,0.8,0.4,9
0.409,0.351,0.463,0.805,1.8,0.7,0.2,0.1,5.6
0.521,0.272,0.563,0.77,8.8,5.4,1.6,1.9,22.9
0.467,0.392,0.512,0.711,3.6,0.7,0.6,0.3,6.1
0.471,0.398,0.506,0.844,5.4,3.5,1,0.3,21.9
0.463,0.398,0.54,0.811,5.8,2.2,1,0.3,13.9
0.455,0.372,0.516,0.782,4,1,0.7,0.3,6.7
0.454,0.341,0.507,0.685,2.8,0.8,0.4,0.2,6.6
0.455,0.367,0.477,0.865,6.2,5.5,1.9,0.4,23.9
0.452,0.441,0.471,0.735,3.2,2.7,1.2,0.1,7.1
