FG%,3P%,2P%,FT%,TRB,AST,STL,BLK,PTS
0.433,0.347,0.468,0.804,4,2.4,1.1,0.1,15.5
0.452,0.461,0.446,0.667,2.1,1.4,0.7,0.5,6.6
0.386,0.343,0.423,0.73,1.7,1.1,0.6,0.4,4.5
0.42,0.309,0.489,0.811,3.7,1.8,1.4,0.2,14.5
0.372,0.36,0.378,0.89,2,1.1,0.5,0.1,9.3
0.444,0.396,0.466,0.888,3.8,4.2,1.7,0.2,18.2
0.47,0.425,0.51,0.873,3.8,2.1,0.8,0.6,22.1
0.435,0.398,0.502,0.833,3.3,2.1,0.8,0.4,9.2
0.35,0.245,0.516,0.727,1.4,1.1,0.3,0.1,2.4
0.462,0.355,0.508,0.839,1.7,1.2,0.6,0.1,6.4
0.408,0.344,0.464,0.83,2.5,2.5,0.9,0.3,15.3
0.453,0.391,0.496,0.813,2.5,3.1,1.1,0.2,9.6
0.386,0.306,0.456,0.833,1.7,1.9,0.5,0,10.2
0.399,0.337,0.46,0.848,2.5,1.4,0.8,0.1,9.7
0.394,0.314,0.443,0.755,2,1.5,0.6,0.2,5.9
0.427,0.309,0.472,0.786,3.3,4.7,1.9,0.5,13.8
0.339,0.325,0.363,0.829,1.8,0.6,0.4,0.1,7.3
0.385,0.326,0.473,0.771,2.5,1.9,0.6,0.3,8.5
0.424,0.404,0.436,0.811,2.3,1,0.6,0.2,5.6
0.371,0.321,0.421,0.775,2.6,2.9,1.2,0.2,7.8
0.351,0.3,0.405,0.824,1.9,2,0.5,0.4,5.9
0.305,0.293,0.319,0.8,1.3,0.6,0.4,0.2,3.1
0.42,0.359,0.472,0.86,3.4,2.7,0.9,0.2,14.5
0.383,0.364,0.403,0.821,2.4,1.4,0.6,0.1,4.9
0.456,0.342,0.538,0.896,1.8,0.9,0.4,0.1,11.1
0.43,0.338,0.537,0.893,1.7,1,0.4,0.1,6.4
0.458,0.357,0.468,0.652,4.6,1.1,1.7,0.3,8.4
0.476,0.484,0.462,0.556,1.3,0.5,0.3,0.1,5.6
0.486,0.38,0.529,0.797,3,2.2,0.7,0.4,8.7
0.438,0.348,0.475,0.83,4.8,3.9,1.6,0.8,16
0.388,0.349,0.425,0.833,2.4,0.9,0.6,0.3,6.6
0.389,0.358,0.416,0.857,2.3,1.1,0.6,0.1,7.7
0.432,0.345,0.476,0.806,5.8,2.5,0.9,0.5,14.4
0.452,0.389,0.482,0.793,2.8,3.1,0.8,0.2,14
0.399,0.329,0.43,0.769,2.9,0.7,0.4,0.1,6.7
0.393,0.381,0.426,0.898,1.3,0.6,0.5,0.1,6
0.468,0.444,0.49,0.847,2.9,1.2,0.7,0.3,10.7
0.389,0.308,0.479,0.919,0.6,0.5,0.5,0,5.5
0.44,0.411,0.457,0.892,2,1.3,0.3,0.1,8.4
0.442,0.371,0.491,0.691,2.2,2.8,0.6,0.1,12
0.463,0.39,0.504,0.731,6.1,2.2,1.2,0.2,16.3
0.43,0.382,0.462,0.753,2.1,0.8,0.5,0.1,8.1
0.482,0.404,0.538,0.825,3.1,3.5,1.1,0.3,23.1
0.398,0.324,0.425,0.857,2.2,2.4,0.5,0.1,11
0.374,0.386,0.356,0.722,2.1,1,0.5,0.5,4.2
0.426,0.391,0.461,0.842,3.3,1.5,0.5,0.1,10.6
0.48,0.421,0.506,0.912,3.6,3.6,0.9,0.5,23
0.456,0.401,0.49,0.867,3.4,2.3,1.1,0.3,10.8
0.392,0.379,0.42,0.844,3.3,1.8,1,0.8,7.3
0.387,0.37,0.396,0.625,1.7,0.9,0.8,0.2,2.5
0.467,0.266,0.484,0.842,5.2,3.9,1.1,0.2,27.3
0.354,0.351,0.363,0.778,2.6,1.1,0.5,0.1,5.1
0.423,0.363,0.447,0.832,3.2,3.4,0.9,0.3,22.1
0.424,0.395,0.438,0.646,3.3,4.3,0.9,0.4,15.8
0.434,0.31,0.456,0.794,4.5,3.8,1.4,0.7,18.3
0.457,0.37,0.501,0.77,2.1,2.2,0.7,0.4,9.6
0.406,0.372,0.468,0.84,2.7,2.5,0.6,0.5,16.2
0.439,0.356,0.491,0.805,3.1,3,1,0.1,17.2
0.424,0.373,0.476,0.784,2.8,2.6,1.3,0.4,7.8
0.502,0.42,0.558,0.776,3.1,2.9,1.2,0.1,14.9
0.423,0.353,0.455,0.806,2.6,1.6,0.6,0.2,9.2
0.385,0.337,0.429,0.655,2.8,0.9,0.5,0.2,5.1
0.487,0.374,0.556,0.759,1.6,1.2,0.5,0.1,6.8
0.411,0.36,0.469,0.789,2.9,1.4,0.8,0.4,7.5
0.364,0.266,0.481,0.909,1.3,0.9,0.6,0,4.6
0.445,0.429,0.462,0.891,2.2,1.4,0.7,0.2,15
0.346,0.351,0.329,0.667,2.8,1.5,1,0.3,8.6
0.413,0.36,0.443,0.857,1.6,2.6,0.7,0.2,12.3
0.404,0.334,0.466,0.883,2.6,2.1,0.6,0.3,9.9
0.432,0.427,0.444,0.828,1.4,1.3,0.6,0.3,4.1
0.46,0.281,0.536,0.853,4.3,1.2,0.4,0.4,9.7
0.402,0.409,0.395,0.878,2.1,1.3,0.9,0.1,9.1
0.425,0.385,0.489,0.714,2.8,1,0.6,0.2,8.2
0.42,0.294,0.461,0.75,2.1,1.6,0.6,0.3,6.2
0.445,0.329,0.503,0.798,3,2.6,1.1,0.1,14.7
0.387,0.353,0.404,0.794,1.1,0.5,0.2,0.2,4.4
0.394,0.33,0.444,0.779,3.2,2.6,1.1,0.7,10.2
0.433,0.355,0.513,0.825,2.7,1.2,0.8,0.4,7.7
0.399,0.35,0.442,0.832,3.3,2.5,1.2,0.2,13.8
0.468,0.414,0.516,0.853,3.7,2.1,0.8,0.5,22.3
0.464,0.451,0.494,0.905,2.8,1.6,0.5,0.3,10.1
0.439,0.357,0.466,0.889,1.6,1.2,0.5,0.1,6.3
0.429,0.365,0.48,0.88,2.5,3,1,0.2,17.5
0.457,0.404,0.48,0.865,2.8,4.2,1.1,0.2,10.2
0.39,0.392,0.387,0.804,2.3,2.7,1.2,0.2,7.5
0.429,0.36,0.488,0.893,2.4,2,0.6,0.1,10.5
